      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2020级 2021级 2022级
424066,05457,2210021,人类文明史漫谈（翻转）,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424068,05459,2210082,中国共产党党史专题,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424071,05462,2210088,人民军队战史之经典战役解读,"      	文化素质选修-文学、历史、哲学,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2020级 2021级 2022级
424081,05472,2300172,金融是现代经济的核心,"      	文化素质选修-法律、经管、社会,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424083,05474,2300149,国家安全法概论,"      	文化素质选修-法律、经管、社会,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424084,05475,2300167,绿色生物制造与智造,"      	文化素质选修-自然科学,
      	文化素质选修-新工科创新
",北洋园校区,年级:2019级 2021级 2020级 2022级
424089,05480,2300152,生物安全与职业伦理,"      	文化素质选修-新工科创新,
      	文化素质选修-法律、经管、社会
",北洋园校区,年级:2019级 2021级 2020级 2022级
424091,05482,2300183,国际事件与国际法,"      	文化素质选修-法律、经管、社会,
      	文化素质选修-社会与哲学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424092,05483,2300178,解密绿色低碳能量加工厂,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2020级 2021级 2022级
424098,05489,2310092,生活中的气象学,"      	文化素质选修-自然科学
",北洋园校区,年级:2019级 2021级 2020级 2022级
424101,05492,2310033,纳米地球与全球气候变化,"      	文化素质选修-自然科学
